link,status
https://www.facebook.com/groups/1573967270163785/user/100059403877387/,0
https://www.facebook.com/groups/1573967270163785/user/100013094805008/,0
https://www.facebook.com/groups/1573967270163785/user/100011517753979/,0
https://www.facebook.com/groups/1573967270163785/user/61560078058115/,0
https://www.facebook.com/groups/1573967270163785/user/100089264551455/,0
https://www.facebook.com/groups/1573967270163785/user/100088481502879/,0
https://www.facebook.com/groups/1573967270163785/user/100004048213737/,0
https://www.facebook.com/groups/1573967270163785/user/100057604602782/,0
https://www.facebook.com/groups/1573967270163785/user/100091391236816/,0
https://www.facebook.com/groups/1573967270163785/user/100095480522824/,0
https://www.facebook.com/groups/1573967270163785/user/61564832266320/,0
https://www.facebook.com/groups/1573967270163785/user/100066203171144/,0
https://www.facebook.com/groups/1573967270163785/user/100087433216994/,0
https://www.facebook.com/groups/1573967270163785/user/100079065654967/,0
https://www.facebook.com/groups/1573967270163785/user/100083621594946/,0
https://www.facebook.com/groups/1573967270163785/user/61557799247991/,0
https://www.facebook.com/groups/1573967270163785/user/100080880769097/,0
https://www.facebook.com/groups/1573967270163785/user/100071551124253/,0
https://www.facebook.com/groups/1573967270163785/user/100070085025642/,0
https://www.facebook.com/groups/1573967270163785/user/100084554883434/,0
https://www.facebook.com/groups/1573967270163785/user/61551388177006/,0
https://www.facebook.com/groups/1573967270163785/user/100086095331287/,0
https://www.facebook.com/groups/1573967270163785/user/100079234122361/,0
https://www.facebook.com/groups/1573967270163785/user/61555217695908/,0
https://www.facebook.com/groups/1573967270163785/user/61550753013080/,0
https://www.facebook.com/groups/1573967270163785/user/100069850873430/,0
https://www.facebook.com/groups/1573967270163785/user/100058700843047/,0
https://www.facebook.com/groups/1573967270163785/user/100094070169583/,0
https://www.facebook.com/groups/1573967270163785/user/100023605751156/,0
https://www.facebook.com/groups/1573967270163785/user/100072004283659/,0
https://www.facebook.com/groups/1573967270163785/user/61560885202861/,0
https://www.facebook.com/groups/1573967270163785/user/61551543659064/,0
https://www.facebook.com/groups/1573967270163785/user/100065008375784/,0
https://www.facebook.com/groups/1573967270163785/user/61566844240212/,0
https://www.facebook.com/groups/1573967270163785/user/61568653424928/,0
https://www.facebook.com/groups/1573967270163785/user/100079031241193/,0
https://www.facebook.com/groups/1573967270163785/user/100089799136442/,0
https://www.facebook.com/groups/1573967270163785/user/100067640928362/,0
https://www.facebook.com/groups/1573967270163785/user/100009419603497/,0
https://www.facebook.com/groups/1573967270163785/user/100088980252966/,0
https://www.facebook.com/groups/1573967270163785/user/100011409927911/,0
https://www.facebook.com/groups/1573967270163785/user/100052726670003/,0
https://www.facebook.com/groups/1573967270163785/user/100060990888740/,0
https://www.facebook.com/groups/1573967270163785/user/100092634183938/,0
https://www.facebook.com/groups/1573967270163785/user/100092542843909/,0
https://www.facebook.com/groups/1573967270163785/user/61567263426054/,0
https://www.facebook.com/groups/1573967270163785/user/61552806394251/,0
https://www.facebook.com/groups/1573967270163785/user/100051999864369/,0
https://www.facebook.com/groups/1573967270163785/user/100022910684031/,0
https://www.facebook.com/groups/1573967270163785/user/100041743253958/,0
https://www.facebook.com/groups/1573967270163785/user/61557432350236/,0
https://www.facebook.com/groups/1573967270163785/user/100084388525045/,0
https://www.facebook.com/groups/1573967270163785/user/100084409733340/,0
https://www.facebook.com/groups/1573967270163785/user/61552871116241/,0
https://www.facebook.com/groups/1573967270163785/user/100076077622902/,0
https://www.facebook.com/groups/1573967270163785/user/100092607176777/,0
https://www.facebook.com/groups/1573967270163785/user/100092183234396/,0
https://www.facebook.com/groups/1573967270163785/user/61556212329259/,0
https://www.facebook.com/groups/1573967270163785/user/61561504561727/,0
https://www.facebook.com/groups/1573967270163785/user/100058449131669/,0
https://www.facebook.com/groups/1573967270163785/user/100051266312201/,0
https://www.facebook.com/groups/1573967270163785/user/100075927791901/,0
https://www.facebook.com/groups/1573967270163785/user/100046512408924/,0
https://www.facebook.com/groups/1573967270163785/user/100066097425547/,0
https://www.facebook.com/groups/1573967270163785/user/100055697289604/,0
https://www.facebook.com/groups/1573967270163785/user/61562309240341/,0
https://www.facebook.com/groups/1573967270163785/user/100043515736464/,0
https://www.facebook.com/groups/1573967270163785/user/100079178410387/,0
https://www.facebook.com/groups/1573967270163785/user/61564204234035/,0
https://www.facebook.com/groups/1573967270163785/user/61551797048957/,0
https://www.facebook.com/groups/1573967270163785/user/100079002436206/,0
https://www.facebook.com/groups/1573967270163785/user/100089530261054/,0
https://www.facebook.com/groups/1573967270163785/user/100045681002551/,0
https://www.facebook.com/groups/1573967270163785/user/100068170278268/,0
https://www.facebook.com/groups/1573967270163785/user/100019177116291/,0
https://www.facebook.com/groups/1573967270163785/user/61561667261506/,0
https://www.facebook.com/groups/1573967270163785/user/100049590435349/,0
https://www.facebook.com/groups/1573967270163785/user/100095109915403/,0
https://www.facebook.com/groups/1573967270163785/user/100086734128200/,0
https://www.facebook.com/groups/1573967270163785/user/100076484191631/,0
https://www.facebook.com/groups/1573967270163785/user/61557533850176/,0
https://www.facebook.com/groups/1573967270163785/user/100043579484603/,0
